,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Material,Colour,Brand,Price
0,18208,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid White Cap,Cotton,"White, Red",Manchester United,699
1,58148,Unisex,Accessories,Headwear,Caps,Fall,2012.0,Casual,Puma Unisex White Cap,Polyester,White,Puma,699
2,25712,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Blue Cap,Cotton,Blue,ADIDAS,599
3,3739,Men,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Men Delhi Daredevil Blue Cap,Polyester,Blue,ADIDAS,799
4,7736,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Puma Men Ferrari Lifestyle Red Cap,Cotton,Red,Puma,899
5,25715,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Blue Cap,Cotton,Blue,ADIDAS,499
6,16537,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Probase Men Check Blue Cap,Cotton,Blue,Probase,549
7,12735,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex U Black Caps,Cotton,"Black, Red",Nike,995
8,18206,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Black Cap,Cotton,"Black, Red",Manchester United,699
9,49239,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men White Cap,Cotton,White,Arrow,599
10,29122,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Unisex Cat Logo Black Cap,Not specified,Black,Puma,399
11,19743,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United colors of benetton Women Blue Cap,Not specified,Blue,United Colors of Benetton,1299
12,3737,Unisex,Accessories,Headwear,Caps,Fall,2010.0,Sports,Lotto Unisex Kochi Tuskers Sovenior Purple Orange Cap,Cotton,"Purple, Orange",Lotto,249
13,11121,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,Puma Women Minicats Knit Blue Cap,Acrylic,Blue,Puma,599
14,17641,Unisex,Accessories,Headwear,Headband,Fall,2013.0,Sports,Puma Unisex Cat White Headband,Not specified,White,Puma,249
15,13824,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Proline Men White & Maroon Colourblocked Beanie,Synthetic,"Maroon, White",Proline,399
16,19973,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Cap,Cotton,Grey,United Colors of Benetton,999
17,43553,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Men Black Complete Running Cap,Acrylic,Black,Puma,699
18,40746,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women Black Cap,Cotton,Black,roxy,1395
19,7739,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Puma Unisex Stripe Cat Steel Grey Cap,Not specified,Grey,Puma,499
20,3736,Unisex,Accessories,Headwear,Caps,Fall,2010.0,Casual,Lotto Unisex Kochi Tuskers Orange Cap,Cotton,"Orange, Purple",Lotto,449
21,10604,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Tennis Red Caps,Polyester,Red,Nike,895
22,18207,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Red Cap,Cotton,"Red, Black",Manchester United,699
23,28654,Unisex,Accessories,Headwear,Caps,Winter,2012.0,Casual,Nike Unisex Grey FCB Cap,Polyester,Grey,Nike,995
24,10603,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Tennis Grey Caps,Not specified,Grey,Nike,995
25,49238,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Black Cap,Cotton,Black,Arrow,599
26,20062,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Solid Purple Cap,Not specified,Purple,United Colors of Benetton,1099
27,7737,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Puma Unisex Stripe Cat Black Cap,Not specified,Black,Puma,499
28,16536,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,Probase Women Checked Orange & Red Cap,Cotton,"Red, Orange",Probase,499
29,25714,Unisex,Accessories,Headwear,Caps,Spring,2013.0,Casual,ADIDAS Unisex NBA Black Cap,Cotton,Black,ADIDAS,899
30,49236,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Cream Cap,Cotton,Cream,Arrow,699
31,49807,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Red Cap,Cotton,"Red, Blue",Flying Machine,499
32,25713,Unisex,Accessories,Headwear,Caps,Spring,2013.0,Sports,ADIDAS Unisex Chicago Bulls Black Cap,Not specified,Black,ADIDAS,799
33,58149,Women,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Women Pink Sparkle Cat Cap,Cotton,Pink,Puma,499
34,18209,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Printed Navy Blue Cap,Cotton,Navy Blue,Manchester United,699
35,40111,Unisex,Accessories,Headwear,Caps,Spring,2013.0,Casual,ADIDAS Unisex Black Cap,Cotton,"Black, Green",ADIDAS,799
36,40747,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women Beige Cap,Cotton,Beige,roxy,1395
37,28609,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Men Classic Swoosh Grey Cap,Not specified,Grey,Nike,595
38,43552,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Unisex Blue Complete Running Cap,Acrylic,Blue,Puma,699
39,40771,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Blue Firsty Roundtails Cap,Not specified,Blue,Quiksilver,995
40,17640,Unisex,Accessories,Headwear,Headband,Fall,2013.0,Sports,Puma Unisex Cat Black Headband,Not specified,Black,Puma,299
41,9436,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Rafa Bull Log Black Caps,Not specified,Black,Nike,995
42,49789,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Red Cap,Cotton,Red,Flying Machine,599
43,21439,Women,Accessories,Headwear,Caps,Summer,2012.0,Casual,Roxy Women Be Happy Purple Cap,Synthetic,"Purple, Pink",roxy,1295
44,43072,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Unisex Black Cap,Not specified,Black,Nike,995
45,38146,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Grey Beanie,Not specified,Grey,Wildcraft,445
46,29034,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Line Age Navy Blue Cap,Cotton,Navy Blue,ADIDAS,599
47,49787,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men White Cap,Not specified,White,Flying Machine,499
48,17951,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Knit Beanie Red Skull Cap,Synthetic,Red,Nike,895
49,13162,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Puma Unisex Unisex Cat Logo White Caps,Cotton,White,Puma,399
50,40063,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Blue Cap,Polyester,Blue,ADIDAS,599
51,17956,Women,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Women Stay Cool Purple Cap,Polyester,Purple,Nike,795
52,29033,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Corp Black Cap,Polyester,Black,ADIDAS,399
53,17531,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Unisex Sports Navy Blue Caps,Cotton,Navy Blue,ADIDAS,499
54,36646,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Puma Deccan Chargers Blue Homs Cap,Cotton,Blue,Puma,400
55,2364,Unisex,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Blue Cap,Not specified,"Blue, White",ADIDAS,699
56,19434,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Blue Sting Ray Beanie Hat,Synthetic,Blue,Quiksilver,1095
57,4450,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Nike Unisex Arsenal  Red White Cap,Not specified,"Red, White",Nike,895
58,19433,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Black Beanie Cap,Acrylic,Black,Quiksilver,1095
59,36088,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Navy Cap,Not specified,Navy Blue,OTLS,399
60,10785,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Runng Grey Caps,Not specified,Grey,Nike,895
61,9977,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Unisex Bulls Black Red Cap,Cotton,"Black, Red",ADIDAS,799
62,3471,Men,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Men Adipure Black Cap,Polyester,"Black, White",ADIDAS,699
63,9379,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Manu Core Black Cap,Cotton,Black,Nike,995
64,39492,Unisex,Accessories,Headwear,Caps,Spring,2013.0,Casual,Wildcraft Unisex Beige Cap,Cotton,Beige,Wildcraft,345
65,1577,Unisex,Accessories,Headwear,Caps,Fall,2010.0,Sports,Inesis  Slim Shady Cap,Not specified,Green,Inesis,299
66,36086,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Beige Polo Cap,Not specified,Beige,OTLS,399
67,3449,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,ADIDAS Kids Unisex Pune Warriors Black Cap,Polyester,"Black, Silver",ADIDAS,699
68,39495,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Beige Hat,Not specified,Beige,Wildcraft,595
69,17957,Men,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Men Cricket Navy Blue Cap,Cotton,Navy Blue,Nike,595
70,29032,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Corp Blue Cap,Polyester,Blue,ADIDAS,399
71,7617,Men,Accessories,Headwear,Caps,Summer,2011.0,Casual,Wrangler Men Green Canvas Cap,Cotton Canvas,Green,Wrangler,495
72,19208,Men,Accessories,Headwear,Caps,Summer,2011.0,Casual,United Colors of Benetton Men Check Grey Cap,Not specified,Grey,United Colors of Benetton,999
73,17530,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Unisex Sports White Caps,Polyester,White,ADIDAS,499
74,17950,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Swoosh Black Bandana,Cotton,Black,Nike,495
75,40062,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,ADIDAS Unisex Orange Cap,Polyester,Orange,ADIDAS,599
76,2362,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,ADIDAS Black Cap,Not specified,Black,ADIDAS,799
77,21438,Women,Accessories,Headwear,Caps,Winter,2012.0,Casual,Roxy Women Mellow Beanie Blue Cap,Not specified,Blue,roxy,1095
78,11259,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Men Nba Celtics Black Caps,Cotton,"Black, Green, White",ADIDAS,799
79,7619,Men,Accessories,Headwear,Caps,Summer,2011.0,Casual,Wrangler Men Light Blue Canvas Cap,Cotton Canvas,Blue,Wrangler,595
80,19206,Men,Accessories,Headwear,Caps,Summer,2011.0,Casual,United Colors of Benetton Men Black Cap,Not specified,Black,United Colors of Benetton,999
81,43073,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Men Blue Odi Game Day Cap,Polyester,Blue,Nike,695
82,41511,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Basics Men Blue Beret Cap,Cotton,Blue,Basics,599
83,49788,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Navy Blue Cap,Not specified,Navy Blue,Flying Machine,499
84,36087,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Pink Cap,Not specified,Pink,OTLS,399
85,9378,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Cbf Core Black Caps,Not specified,Black,Nike,995
86,10784,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Runng Black Caps,Not specified,"Black, Blue",Nike,895
87,39493,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Beige Cap,Cotton,"Black, Beige",Wildcraft,345
88,38125,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wildcraft Unisex Olive Green Cap,Cotton,Olive,Wildcraft,345
89,4451,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Nike Unisex Manchester United Red Black Cap,Not specified,"Red, Black",Nike,895
90,36089,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,OTLS Unisex Brown Cap,Not specified,Brown,OTLS,399
91,19435,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Stripes Blue Caps,Synthetic,"Blue, Black",Quiksilver,1095
92,9978,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Unisex Lakers Black Purple Cap,Cotton,"Black, Purple",ADIDAS,799
93,19884,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Women Brillo White Cap,Cotton,White,ADIDAS Originals,999
94,2589,Women,Accessories,Headwear,Caps,Summer,2011.0,Casual,Quechua Women Maroon Cap,Cotton Canvas,Maroon,Quechua,399
95,15024,Men,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Men Solid Blue Caps,Cotton,Blue,ADIDAS,699
96,19883,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Men St Truck Black Cap,Cotton,Black,ADIDAS Originals,799
97,38564,Unisex,Accessories,Headwear,Caps,Winter,2015.0,Casual,Nike Unisex Black Cap,Not specified,"Black, Beige",Nike,995
98,25022,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Grey Tennis Cap,Polyester,Grey,Nike,995
99,41533,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Basics Men Red Cap,Not specified,Red,Basics,499
100,13721,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Proline Men Blue Patterned Beanie,Synthetic,Blue,Proline,425
101,49792,Men,Accessories,Headwear,Caps,Winter,2015.0,Casual,Flying Machine Men Green Cap,Not specified,"Green, Black",Flying Machine,599
102,34797,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Grey Hat,Not specified,Grey,Flying Machine,699
103,38966,Unisex,Accessories,Headwear,Caps,Summer,2015.0,Casual,Wildcraft Unisex Beige Safari Cap,Cotton,Beige,Wildcraft,595
104,33774,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Casual,Puma Unisex Black Cap,Polyester,Black,Puma,699
105,22606,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Sports,Nike Unisex Active White Cap,Cotton,White,Nike,395
106,44621,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Unisex Green Daybreak Cap,Not specified,Green,Nike,895
107,30592,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Federer Olive Cap,Cotton,Olive,Nike,995
108,18902,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Cap,Cotton,Black,ADIDAS Originals,999
109,38565,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Nike Men White Bull Logo Cap,Polyester,White,Nike,995
110,18995,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Woolie Navy Blue Cap,Cotton,"Navy Blue, Green",ADIDAS Originals,999
111,15025,Men,Accessories,Headwear,Caps,Fall,2011.0,Sports,ADIDAS Men Solid White Caps,Cotton,White,ADIDAS,699
112,19885,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Black Cap,Cotton,Black,ADIDAS Originals,999
113,3436,Unisex,Accessories,Headwear,Caps,Summer,2011.0,Sports,Reebok Royal Challengers Bangalore Fangear Red Cap,Cotton,Red,Reebok,499
114,30593,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Tennis White Cap,Polyester,White,Nike,995
115,30594,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Rafa Bull Logo Green Cap,Polyester,Green,Nike,995
116,33775,Women,Accessories,Headwear,Caps,Summer,2011.0,Casual,Puma Women Conrad Reversible Pink Beanie Cap,Cotton,Pink,Puma,799
117,34796,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Black Hat,Not specified,"Black, Grey",Flying Machine,599
118,29029,Unisex,Accessories,Headwear,Caps,Fall,2014.0,Casual,ADIDAS Unisex Corps Navy Blue Cap,Polyester,Navy Blue,ADIDAS,699
119,18904,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,ADIDAS Originals Unisex Adicolor Navy Blue Cap,Cotton,Navy Blue,ADIDAS Originals,999
120,41535,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Basics Men Navy Blue Baseball Cap,Cotton,Navy Blue,Basics,599
121,49793,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Yellow Cap,Cotton,Yellow,Flying Machine,599
122,22636,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Nike Unisex Blue & Brown Striped Cap,Acrylic,"Blue, Brown",Nike,995
123,49794,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Flying Machine Men Black Cap,Cotton,Black,Flying Machine,599
124,3740,Men,Accessories,Headwear,Caps,Fall,2010.0,Sports,ADIDAS Men Pune Warriors Match Black Cap,Polyester,Black,ADIDAS,799
125,24216,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Arsenal Red Football Cap,Cotton,"Red, Navy Blue",Nike,995
126,42831,Unisex,Accessories,Headwear,Headband,Summer,2012.0,Sports,Nike Unisex Black Headband,Not specified,Black,Nike,195
127,48537,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wrangler Men Red Check Cap,Cotton,"Red, White, Grey",Wrangler,795
128,49247,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Brown Cap,Cotton,"Brown, White",Arrow,599
129,24220,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,Nike Unisex Blue Tennis Cap,Polyester,Blue,Nike,895
130,40765,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Quiksilver Men Black Cap,Cotton,Black,Quiksilver,1395
131,49240,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Blue Cap,Cotton,Blue,Arrow,599
132,19968,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Cap,Synthetic,Black,United Colors of Benetton,999
133,39108,Girls,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Mumbai Indians Girls Blue Match Cap,Cotton,Blue,ADIDAS,699
134,58154,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Men Blue Cap,Polyester,Blue,Puma,499
135,18214,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Navy Blue Cap,Cotton,Navy Blue,Manchester United,699
136,18213,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,Manchester United Men Solid Black Cap,Cotton,Black,Manchester United,699
137,58153,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Men Black Cap,Polyester,Black,Puma,499
138,25709,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Sports,ADIDAS Unisex Red Cap,Cotton,Red,ADIDAS,799
139,29106,Unisex,Accessories,Headwear,Caps,Summer,2012.0,Casual,Puma Unisex Graphic Black Cap,Not specified,Black,Puma,699
140,20047,Women,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Women Solid Blue Cap,Synthetic,Blue,United Colors of Benetton,1299
141,49241,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Purple Cap,Cotton,Purple,Arrow,599
142,19969,Men,Accessories,Headwear,Caps,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Cap,Cotton,Blue,United Colors of Benetton,999
143,49246,Men,Accessories,Headwear,Caps,Fall,2012.0,Casual,Arrow Men Red Cap,Cotton,Red,Arrow,599
144,48536,Men,Accessories,Headwear,Caps,Summer,2012.0,Casual,Wrangler Men Grey Check Cap,Cotton,"Grey, Blue",Wrangler,795
145,19951,Unisex,Accessories,Headwear,Caps,Fall,2011.0,Casual,Puma Unisex Cat Logo Navy Blue Cap,Not specified,Navy Blue,Puma,399
