,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Features,Finish,Units Per Bundle,Colour,Brand,Price
0,56427,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Streetwear Groovy Baby Eye Shadow,Not specified,Not specified,Not specified,Not specified,Bronze,Streetwear,120
1,56429,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Streetwear Bombshell Eye Shadow,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,120
2,56428,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Streetwear FX Cutey Petutti Eye Shadow,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,120
3,56598,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Streetwear Stay On Emerald Eye Pencil 01,Not specified,Not specified,Not specified,Not specified,Green,Streetwear,350
4,56591,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Streetwear Hi Lite Eye Shadow,Not specified,Not specified,Not specified,Not specified,"Bronze, Gold, White",Streetwear,475
5,56152,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Amethyst Spark Eye Pencil 011,Not specified,Not specified,Not specified,Not specified,Purple,Colorbar,499
6,56590,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Streetwear Dazzling Steel Eye Shadow,Not specified,Not specified,Not specified,Not specified,"Blue, Grey, Silver",Streetwear,425
7,56597,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Streetwear Stay On Onyx Eye Pencil 03,Not specified,Not specified,Not specified,Not specified,Black,Streetwear,350
8,56599,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Streetwear Stay On Aquamarine Eye Pencil 01,Not specified,Not specified,Not specified,Not specified,Blue,Streetwear,350
9,56153,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Glowing Saphire Eye Pencil 010,Not specified,Not specified,Not specified,Not specified,Blue,Colorbar,499
10,56154,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Coal Mine Eye Pencil 09,Not specified,Not specified,Not specified,Not specified,Black,Colorbar,499
11,55397,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Revlon Water Tight Black Mascara,36,Smudge Proof,Not specified,Not specified,Black,Revlon,465
12,49137,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 267,Not specified,Not specified,Not specified,Not specified,Blue,Deborah,275
13,55398,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Revlon Lash Fantasy Blackest Black Mascara And Primer,36,Smudge Proof,Not specified,Not specified,Black,Revlon,750
14,55396,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Revlon Grow Luscious Blackest Black Mascara & Lash Enhancer 5354-01,36,Smudge Proof,Not specified,Not specified,Black,Revlon,500
15,49088,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 261,Not specified,Not specified,Not specified,Not specified,Green,Deborah,275
16,55071,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Lakme Women Absolute Flutter Secrets Dramatic Eyes Mascara B004,24,Curling,Matte,1,Black,Lakme,775
17,49087,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 253,Not specified,Not specified,Not specified,Not specified,Blue,Deborah,275
18,49089,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 264,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,275
19,55252,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Perfect Definition Eye Pencil 20 Midnight Black,Not specified,Not specified,Not specified,Not specified,Black,Lakme,175
20,57706,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Lotus Herbals Maxlash Botanical Mascara,24,Smudge Proof,Not specified,Not specified,Black,Lotus Herbals,265
21,49098,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Deborah HiTech Trio Eye Shadow 10,Not specified,Not specified,Not specified,Not specified,"Green, Gold, Grey",Deborah,495
22,56425,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Streetwear FX Spice Girl Eye Shadow,Not specified,Not specified,Not specified,Not specified,Purple,Streetwear,120
23,56156,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Flirty Turq Eye Pencil 07,Not specified,Not specified,Not specified,Not specified,Blue,Colorbar,499
24,56592,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Streetwear Groovy Pink Eye Shadow,Not specified,Not specified,Not specified,Not specified,"Purple, Pink, Brown",Streetwear,475
25,56159,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Electra I-Glide Eye Pencil 04,Not specified,Not specified,Not specified,Not specified,Blue,Colorbar,499
26,56161,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Cocobar Eye Pencil 02,Not specified,Not specified,Not specified,Not specified,Brown,Colorbar,499
27,56594,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Streetwear Stay On Mineral Goddess Eye Shadow,Not specified,Not specified,Not specified,Not specified,Blue,Streetwear,275
28,56593,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Streetwear Green With Envy Eye Shadow,Not specified,Not specified,Not specified,Not specified,"Green, Yellow, Copper",Streetwear,475
29,56545,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Streetwear Blue Mascara 02,Not specified,Smudge Proof,Not specified,Not specified,Blue,Streetwear,185
30,56542,Women,Personal Care,Eyes,Mascara,Spring,2017.0,,Streetwear Wonder Lash Mascara,Not specified,Smudge Proof,Not specified,Not specified,Black,Streetwear,275
31,55956,Women,Personal Care,Eyes,Mascara,Summer,2019.0,Casual,Colorbar Women Lash Illusion Mascara Duo DM001,36,Smudge Proof,Matte,Not specified,Black,Colorbar,450
32,56543,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Streetwear Sheer Mascara,Not specified,Smudge Proof,Not specified,Not specified,White,Streetwear,200
33,56544,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Streetwear Black Mascara 01,Not specified,Smudge Proof,Not specified,Not specified,Black,Streetwear,220
34,49135,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 266,Not specified,Not specified,Not specified,Not specified,Bronze,Deborah,275
35,55395,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Revlon Double Twist  Blackest Black Volumizing Mascara 1954-01,36,Smudge Proof,Not specified,Not specified,Black,Revlon,580
36,49078,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Deborah HiTech Trio Smoky Eyes Eye Shadow 04,Not specified,Not specified,Not specified,Not specified,"Pink, Grey, Charcoal",Deborah,495
37,55075,Women,Personal Care,Eyes,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Glide On Warm Copper Eye Color,Not specified,Not specified,Not specified,Not specified,Copper,Lakme,275
38,49076,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Deborah HiTech Trio Eye Shadow 01,Not specified,Not specified,Not specified,Not specified,"Gold, Beige, Brown",Deborah,495
39,55072,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Lakme Lash Artist Mascara,24,Smudge Proof,Not specified,Not specified,Black,Lakme,300
40,49077,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,,Deborah HiTech Trio Eye Shadow 3,Not specified,Not specified,Not specified,Not specified,"Blue, Navy Blue, White",Deborah,495
41,55073,Women,Personal Care,Eyes,Mascara,Spring,2017.0,Casual,Lakme Absolute Flutter Secrets Volumizing Mascara,24,Smudge Proof,Glossy,1,Black,Lakme,650
42,49079,Women,Personal Care,Eyes,Eyeshadow,Spring,2017.0,Casual,Deborah Silver Mono HiTech Eye Shadow 34,Not specified,Not specified,Not specified,Not specified,Silver,Deborah,295
