,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Features,Finish,Units Per Bundle,Coverage,Colour,Brand,Price
0,56489,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Ash Nail Polish # 31,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Bronze, Brown",Streetwear,110
1,56473,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Grape Shimmer Nail Polish 41,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Streetwear,110
2,56474,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Fiery Femme Nail Polish # 18,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,110
3,56480,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Chocolat Nail Polish 20,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,110
4,55894,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Blue Lagoon Nail Lacquer 05,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,150
5,55860,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Dazzling Mauve Nail Lacquer 008,36,24,Regular,Glossy,1,Opaque,Lavender,Colorbar,400
6,55858,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Flirt Nail Lacquer 013,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,400
7,55867,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Oh My Magenta 2 Nail Lacquer 85V,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,175
8,55893,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Apple Martini Nail Lacquer 06,36,24,Regular,Glossy,1,Opaque,Green,Colorbar,150
9,55851,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Magnificent Sea Nail Lacquer 037,36,Not specified,Regular,Glossy,1,Opaque,Blue,Colorbar,350
10,55869,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar All Fired Up 2 Nail Lacquer 83V,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,175
11,55856,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Rosie Nail Lacquer 015,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,400
12,56481,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Bride's Delight Nail Polish 52,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Streetwear,110
13,56475,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Delight Nail Polish 22,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Streetwear,90
14,56472,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Icy Blue Nail Polish # 68,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Streetwear,110
15,56486,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Berry Shine Nail Polish # 79,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,110
16,56444,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Cherry Divine Nail Enamel 16,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,130
17,56488,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Barbie Pink Nail Polish 40,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Streetwear,95
18,56443,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Chocolate Divine Nail Enamel 12,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,130
19,55868,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Fushia Fix 2 Nail Lacquer 84,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,175
20,55857,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Kiss Me Darling Nail Lacquer 014,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,400
21,55850,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Sunset Nail Lacquer 0380,36,Not specified,Regular,Glossy,1,Opaque,Orange,Colorbar,400
22,55859,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Baby Nail Lacquer 011,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,400
23,55892,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 03,36,24,Regular,Glossy,1,Opaque,Lavender,Colorbar,175
24,55866,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Turquoise Nail Lacquer 88,36,Not specified,Regular,Glossy,1,Opaque,Blue,Colorbar,175
25,55861,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Moss Agate Nail Lacquer 93,36,24,Regular,Glossy,1,Opaque,Green,Colorbar,175
26,55895,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Rasmopolitan Nail Lacquer 03,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,150
27,55913,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Top Coat Nail Lacquer 69,36,Not specified,Regular,Glossy,1,Opaque,Bronze,Colorbar,110
28,57647,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Dark Champagne Nail Polish 88,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,120
29,55128,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 12,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,150
30,55914,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Earthen Rose Nail Lacquer 68,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
31,57640,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Bronze Rain Nail Polish 914,24,Not specified,Regular,Glossy,1,Opaque,Bronze,Lotus Herbals,120
32,55922,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Vibrant Nail Lacquer 53,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,110
33,57649,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Deep Sea Nail Polish 86,24,Not specified,Regular,Glossy,1,Opaque,Blue,Lotus Herbals,120
34,49125,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Ruibes Nail Polish 34,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,250
35,55121,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 19 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Peach,Lakme,155
36,55925,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Flirty Mauve Nail Lacquer 49,36,24,Regular,Glossy,1,Opaque,Mauve,Colorbar,110
37,57671,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Make-Up Colour Dew Ice Cube Nail Enamel 903,24,Not specified,Regular,Glossy,1,Opaque,Silver,Lotus Herbals,130
38,55126,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 14,36,6,Regular,Matte,1,Opaque,Pink,Lakme,155
39,55186,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Purple Potion Lavender Nail Polish 11,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Lakme,200
40,55172,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Crimson Crush Magenta Nail Polish 25,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Lakme,200
41,55949,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Nail Lacquer 08,36,24,Regular,Glossy,1,Opaque,Maroon,Colorbar,110
42,55175,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Wicked Pink Nail Polish 22,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,200
43,55181,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Pearl Pink Nail Polish 16,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,200
44,55378,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Lilac Mist Nail Polish 322,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Revlon,140
45,55143,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 22 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Pink,Lakme,160
46,55385,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Tuscan Sun Nail Polish 314,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Revlon,225
47,56500,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Ethreal Nail Polish 06,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bronze,Streetwear,150
48,49147,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Violet Nail Polish 831,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,230
49,55940,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Autumn Rose Nail Lacquer 20,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,110
50,55382,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Silver Shower Nail Polish 317,36,24,Regular,Glossy,1,Opaque,Silver,Revlon,160
51,55376,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Ooh La La Lilac Nail Polish 324,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Revlon,160
52,55144,Women,Personal Care,Nails,Nail Polish,Summer,2019.0,Casual,Lakme Truewear Color Crush Nail Polish 21,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lakme,155
53,55947,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Gold Dust Nail Lacquer 10,36,24,Regular,Glossy,1,Opaque,Gold,Colorbar,110
54,55924,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Windsor Rose Nail Lacquer 51,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,110
55,57670,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Toffee Nail Polish 910,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,110
56,55127,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 13,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Lakme,155
57,55923,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Blooming Magenta Nail Lacquer 52,36,24,Regular,Glossy,1,Opaque,Magenta,Colorbar,110
58,55120,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 20,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,150
59,55915,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Steel Etto Nail Lacquer 64,36,Not specified,Regular,Glossy,1,Opaque,Silver,Colorbar,110
60,55129,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 11 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Pink,Lakme,160
61,55912,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Crystal Calm Nail Lacquer 70,36,24,Regular,Glossy,1,Opaque,Silver,Colorbar,110
62,57646,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Playfull Pink Nail Polish 89,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,110
63,55145,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Metallics Nail Polish 241,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Metallic,Lakme,100
64,55377,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Lavender Nail Enamel 323,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Revlon,140
65,55383,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Dazzling Dust Nail Polish 316,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Metallic,Revlon,140
66,55946,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Brandy Nail Lacquer 11,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
67,55384,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Plum Deluxe Nail Enamel 315,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Revlon,225
68,56501,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Boutique Bronze Nail Polish 05,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bronze,Streetwear,150
69,55370,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Iced Mauve Nail Polish 333,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Revlon,225
70,55142,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 23 Nail Polish,24,6,Strengthening,Glossy,1,Opaque,Red,Lakme,155
71,49146,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah Sense Tech Mat Green Nail Polish 04,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Deborah,250
72,55941,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Whisper Pink Nail Lacquer 18,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,110
73,55180,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Popping Pink Nail Polish 17,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,200
74,55948,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Icy Silver Nail Lacquer 09,36,24,Regular,Glossy,1,Opaque,Silver,Colorbar,110
75,55379,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Purple Passion Nail Polish 321,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Revlon,140
76,55173,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Crimson Fire Nail Polish 24,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,200
77,55187,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous 10 Purple Nail Polish,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Lakme,200
78,57639,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Make-Up Colour Dew Desert Drizzle Nail Enamel 915,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,120
79,55952,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Love Nail Lacquer 04,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,110
80,55363,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Craving Coral Nail Polish 369,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Revlon,140
81,55151,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N237,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,115
82,55955,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Old Flame Nail Lacquer 01,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,110
83,55390,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Really Rosy Nail Polish 308,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Rose,Revlon,160
84,55156,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Wildflower Mauve Nail Polish 202,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mauve,Lakme,115
85,55364,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Fuchsia Fever Nail Polish 368,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Revlon,160
86,55194,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Night Desire Nail Polish 03,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Lakme,200
87,57637,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Fuschia Drop Nail Polish 949,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,130
88,55160,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Red Allure Nail Polish 402,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,100
89,55158,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Siren Red Nail Polish 404,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,115
90,55133,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 07,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lakme,155
91,57664,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Mahogany Nail Polish 943,36,24,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,120
92,49108,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Black Nail Polish 30,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Deborah,250
93,55930,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Extrovert Nail Lacquer 40,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,110
94,55134,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 06 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Green,Lakme,155
95,55937,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Sizzling Pink Nail Lacquer 24,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,110
96,49130,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah 7 Days Long Light Purple Nail Polish 827,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Deborah,230
97,57655,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Luscious Berry Nail Polish 93,24,Not specified,Regular,Glossy,1,Opaque,Brown,Lotus Herbals,110
98,49106,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Cranbe Pink Nail Polish 28,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,250
99,55901,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Quick Finish Nail Lacquer 17,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,210
100,57652,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Orchid Pearl Nail Polish 96,24,Not specified,Regular,Glossy,1,Opaque,Purple,Lotus Herbals,110
101,55939,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Mulberry Nail Lacquer 21,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
102,55906,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Toast to Pink Nail Lacquer 12,36,Not specified,Regular,Glossy,1,Opaque,"Pink, Peach",Colorbar,210
103,55159,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Deep Blush Maroon Nail Polish 403,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lakme,115
104,55192,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Aqua Blaze Nail Polish 05,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Lakme,200
105,57631,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Wine Lust Nail Polish 970,24,Not specified,Regular,Glossy,1,Opaque,Maroon,Lotus Herbals,120
106,55166,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N231,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,100
107,55354,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Sand Mist Nail Polish 394,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Revlon,140
108,57636,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Women Pink Bliss Nail Polish 950,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,120
