,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Features,Finish,Units Per Bundle,Coverage,Colour,Brand,Price
109,55161,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Berry Wine Nail Polish 401,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lakme,115
110,55195,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Gold Caramel Nail Polish 02,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Lakme,200
111,55954,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Valentino Nail Lacquer 02,36,Not specified,Regular,Glossy,1,Opaque,Maroon,Colorbar,110
112,55168,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Silver Cloud Nail Polish 29,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Lakme,200
113,55365,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Mushy Mauve Nail Polish 356,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Revlon,160
114,55157,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Classics Ruby Red Nail Polish 405,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,100
115,55391,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Sheer Heaven Nail Polish 305,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Revlon,140
116,57638,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Cranberry Star Nail Enamel 922,24,Not specified,Regular,Glossy,1,Opaque,Purple,Lotus Herbals,120
117,55953,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Shy Rose Nail Lacquer 03,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,110
118,55150,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish N525,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lakme,115
119,55362,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Black Beauty Nail Enamel 371,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Revlon,140
120,57653,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Strawberry Idea Nail Polish 95,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,110
121,55938,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Desire Nail Lacquer 22,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
122,55907,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Cappuccino Cup Nail Lacquer 11,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,210
123,57654,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Cosy Mulberry Nail Polish 94,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,120
124,49107,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine tech Red Passion Nail Polish 29,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Deborah,250
125,55900,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Fearless Red Nail Lacquer 18,36,24,Regular,Glossy,1,Opaque,Red,Colorbar,210
126,55135,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 05,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yellow,Lakme,150
127,55909,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Night Fiery Nail Lacquer 75,36,24,Regular,Glossy,1,Opaque,Black,Colorbar,110
128,57662,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Rich Auburn Nail Polish 971,24,Not specified,Regular,Glossy,1,Opaque,Copper,Lotus Herbals,120
129,55936,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Mauve Fever Nail Lacquer 25,36,24,Regular,Glossy,1,Opaque,Mauve,Colorbar,110
130,49131,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah 7 Days Long Nail Polish 828,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,230
131,55132,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 08 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,White,Lakme,160
132,55931,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Ice Spice Nail Lacquer 34,36,24,Regular,Glossy,1,Opaque,White,Colorbar,110
133,55843,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Miami Bee Nail Lacquer 052,36,Not specified,Regular,Glossy,1,Opaque,Magenta,Colorbar,350
134,55888,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 19,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,175
135,55844,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Plum de La Plum Nail Lacquer 051,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,350
136,55886,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 22,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,175
137,55872,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Hearts & Tarts 2 Nail Lacquer 80V,36,24,Regular,Glossy,1,Opaque,Peach,Colorbar,175
138,49075,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Nail Polish 839,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Deborah,230
139,49072,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Nail Polish 836,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Deborah,230
140,55875,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar High Tea 2 Nail Lacquer 77,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,175
141,55881,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 53,36,24,Regular,Glossy,1,Opaque,Orange,Colorbar,175
142,56495,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Panache Pink Nail Polish 11,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,150
143,56461,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Pluto's Nail Polish 10,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Nude,Streetwear,95
144,56466,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Nothing Nail Polish # 4,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Streetwear,95
145,56492,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Glassy Gloss Nail Polish 14,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Metallic,Streetwear,150
146,56450,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Wild Child Nail Polish 24,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Streetwear,95
147,56468,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Mercury Nail Polish 30,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Streetwear,95
148,55880,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 56,36,24,Regular,Glossy,1,Opaque,Silver,Colorbar,175
149,49073,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Nail Polish 837,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Deborah,230
150,55874,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Creme Cup 2 Nail Lacquer 78V,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,150
151,55873,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pretty Please 2 Nail Lacquer 79V,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,175
152,49074,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Deborah 7 Days Long Nail Polish 838,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Deborah,230
153,55887,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 20,36,24,Regular,Glossy,1,Opaque,Peach,Colorbar,150
154,55845,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Love Her Madly Nail Lacquer 050,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,400
155,55842,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Dreamy Nail Lacquer 053,36,24,Regular,Glossy,1,Opaque,Burgundy,Colorbar,350
156,55889,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 18,36,24,Regular,Glossy,1,Opaque,Green,Colorbar,150
157,56456,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Silver Lining Nail Polish 17,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Streetwear,95
158,56469,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Mauve Magic Nail Polish # 38,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Peach,Streetwear,110
159,56451,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Velocity Nail Polish 06,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Silver,Streetwear,95
160,56493,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Metallic Mauve Nail Polish 13,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,140
161,56467,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Mirchi Nail Enamel 19,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Streetwear,95
162,56458,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Sand Stone Nail Polish 48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Streetwear,95
163,56460,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Rose Nail Polish # 29,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Rose,Streetwear,110
164,56494,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Violet Dreams Nail Polish 12,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,150
165,55864,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Amethyst Nail Lacquer 90,36,24,Regular,Glossy,1,Opaque,Maroon,Colorbar,175
166,55890,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 15,36,24,Regular,Glossy,1,Opaque,Green,Colorbar,175
167,55897,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Orange Mimosa Nail Lacquer 01,36,24,Regular,Glossy,1,Opaque,Orange,Colorbar,150
168,55863,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Blue Topaz Nail Lacquer 91,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,175
169,55855,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Pink Promise Nail Lacquer 017,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,400
170,55899,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Quick Finish Nail Lacquer 19,36,Not specified,Regular,Glossy,1,Opaque,Purple,Colorbar,210
171,55852,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Eggplant Nail Lacquer 034,36,24,Regular,Glossy,1,Opaque,Purple,Colorbar,400
172,56479,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Copper Charisma Nail Polish # 51,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Copper,Streetwear,95
173,55839,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Red Enigma Nail Lacquer 058,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,400
174,56446,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Blue Divine Nail Polish 04,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Streetwear,130
175,56448,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Berry Divine Nail Polish 15,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,130
176,55837,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Blue Effect Nail Lacquer 060,36,24,Regular,Glossy,1,Opaque,Purple,Colorbar,350
177,56477,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Cutie Pie Nail Polish # 27,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Streetwear,110
178,56483,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Brassy Brown Nail Polish # 67,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,110
179,56484,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Blushing Nail Polish # 60,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Streetwear,110
180,56470,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Magenta Nail Polish 59,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Streetwear,110
181,55898,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Quick Finish Nail Lacquer 20,36,Not specified,Regular,Glossy,1,Opaque,Purple,Colorbar,210
182,55853,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Berry Nice Nail Lacquer 029,36,24,Regular,Glossy,1,Opaque,"Red, Beige",Colorbar,400
183,55854,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Pink Ice Nail Lacquer 020,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,400
184,55862,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Rose Quartz Nail Lacquer 92,36,Not specified,Regular,Glossy,1,Opaque,Pink,Colorbar,175
185,55896,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Lemon Drop Nail Lacquer 02,36,24,Regular,Glossy,1,Opaque,Yellow,Colorbar,150
186,55891,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 14,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,175
187,55865,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Sunstone Nail Lacquer 89,36,Not specified,Regular,Glossy,1,Opaque,Orange,Colorbar,175
188,56471,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Lilac Lustre Nail Polish 46,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Streetwear,95
189,56485,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Black Magic Nail Polish # 80,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Streetwear,110
190,56482,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Breathless Nail Polish # 2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Streetwear,90
191,56476,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Dazzling Dust Nail Polish # 55,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Streetwear,110
192,56440,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Maroon Divine Nail Polish 03,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Streetwear,130
193,56478,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Cranberry Nail Polish 07,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Nude,Streetwear,95
194,56447,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Shine Divine Black Divine Nail Enamel 01,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Streetwear,130
195,55838,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Pro Riot Red Nail Lacquer 059,36,Not specified,Regular,Glossy,1,Opaque,Red,Colorbar,400
196,55149,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish D415,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lakme,115
197,55185,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Purple Plunge Nail Polish 12,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Lakme,200
198,55388,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Totally Toffee Nail Enamel 310,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,140
199,55381,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Red Spark Nail Polish 318,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Revlon,225
200,56504,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Streetwear Quick Dry Mystique Magenta Nail Polish 02,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Streetwear,150
201,55147,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme True Wear Freespirit Nail Polish D417,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lakme,115
202,55375,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Revlon Caramel Crunch Nail Polish 325,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,140
203,55944,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Brownie Nail Lacquer 13,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
204,55140,Women,Personal Care,Nails,Nail Polish,Summer,2019.0,Casual,Lakme Truewear Color Crush 25 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Red,Lakme,155
205,56503,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Streetwear Quick Dry Tip Top Red Nail Polish 03,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,150
206,55943,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Coffee Nail Lacquer 15,36,24,Regular,Glossy,1,Opaque,Brown,Colorbar,110
207,55917,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Sandew Nail Lacquer 60,36,Not specified,Regular,Glossy,1,Opaque,Brown,Colorbar,110
208,55928,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Peacock Blue Nail Lacquer 44,36,24,Regular,Glossy,1,Opaque,Blue,Colorbar,110
209,57643,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Pink Doll Nail Polish 98,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,120
210,55910,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Starhit Pink Nail Lacquer 72,36,Not specified,Regular,Glossy,1,Opaque,Rust,Colorbar,110
211,57644,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lotus Herbals Colour Dew Nutty Love Nail Polish 97,24,Not specified,Regular,Glossy,1,Opaque,Copper,Lotus Herbals,110
212,55926,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Mystic Mauve Nail Lacquer 47,36,24,Regular,Glossy,1,Opaque,Mauve,Colorbar,110
213,57672,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,,Lotus Herbals Colour Dew Pink Barbie Nail Polish 902,24,Not specified,Regular,Glossy,1,Opaque,Pink,Lotus Herbals,110
214,55125,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush Nail Polish 15,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Lakme,150
215,55919,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Hushed Wine Nail Lacquer 56,36,24,Regular,Glossy,1,Opaque,Pink,Colorbar,110
216,55921,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Colorbar Wine Shine Nail Lacquer 54,36,Not specified,Regular,Glossy,1,Opaque,Brown,Colorbar,110
217,49126,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Deborah Shine Tech Sapphire Nail Polish 35,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Deborah,250
218,55122,Women,Personal Care,Nails,Nail Polish,Spring,2017.0,Casual,Lakme Truewear Color Crush 18 Nail Polish,24,Not specified,Strengthening,Glossy,1,Opaque,Pink,Lakme,155
