,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Concern,Minimum Shelf Life in Months,SPF,Type,Colour,Brand,Price
0,57767,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Whiteglow Yogurt Skin Whitening & Brightening Face Masque 80 g,36,12,All,Cream,1,General Care,24,Not specified,Night Cream,White,Lotus Herbals,225
1,55097,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Gold Radiance Precious Youth Serum,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Gold,Ponds,999
2,55090,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Flawless White Visible Lightening Daily Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Silver, Pink",Ponds,549
3,57705,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Sandalwood Sun Screen,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,245
4,55099,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Women Gold Radiance Youthful Glow Day Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Gold,Ponds,899
5,56624,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Age Protect Anti-Ageing UV Lotion,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,220
6,57702,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Almond Anti-Wrinkle Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,455
7,59862,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Age Protect  Anti-Ageing Cream,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,125
8,57768,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,,Lotus Herbals Tea Tree Clarifying Face Pack,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,White,Lotus Herbals,295
9,59853,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Natural White Rich All in One Fairness Night Cream,36,6,Normal,Cream,1,General Care,24,Not specified,Night Cream,White,Olay,340
10,57703,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Cocomoist Moisturising Lotion,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Cream,Lotus Herbals,395
11,56622,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Natural White Light All in One Fairness Day Cream 40g,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,"White, Blue",Olay,155
12,57704,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Cocomoist Moisturising Lotion,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Cream,Lotus Herbals,295
13,55098,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Ponds Gold Radiance Youthful Night Repair Moisturiser,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Cream,Ponds,899
14,57678,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Whiteglow Skin Micro-Emulsion,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,245
15,55322,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Daily Moisturising Cream SPF15,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Revlon,205
16,57676,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Whiteglow Skin Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,99
17,57884,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Biotique Bio Pistachio Face Pack,36,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,White,Biotique,199
18,57870,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Biotique Morning Nectar Flawless Lightening Lotion,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"White, Green",Biotique,280
19,57883,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Biotique Bio Winter Green Spot Correcting Anti-Acne Cream,Not specified,Not specified,Normal,Cream,1,Acne or Blemishes,Not specified,Not specified,Night Cream,White,Biotique,199
20,57677,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Whiteglow Skin Whitening & Brightening Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,390
21,57679,Women,Personal Care,Skin,Body Lotion,Spring,2017.0,Casual,Lotus Herbals Cocoa Caress SPF 20 Hand & Body Lotion 250 ml,24,Not specified,Combination,Not specified,1,General Care,Not specified,Not specified,Not specified,Yellow,Lotus Herbals,260
22,57871,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Biotique Botanicals Ayurvedic Recipe Bio Morning Nectar Moisturiser,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Green,Biotique,199
23,57885,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Biotique Bio Mud Ageless Firming & Revitalizing Face Pack,36,Not specified,All,Not specified,1,Anti-Ageing,Not specified,Not specified,Mask,Green,Biotique,199
24,57630,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Nutranite Skin Renewal Night Cream 50 g,24,Not specified,All,Cream,1,General Care,Not specified,Not specified,Night Cream,Cream,Lotus Herbals,455
25,57690,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Acne Gel,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,270
26,57697,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Wheatnourish Wheatgerm Oil & Honey Massage Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Cream,Lotus Herbals,375
27,57699,Women,Personal Care,Skin,Face Scrub and Exfoliator,Spring,2017.0,Casual,Lotus Herbals Quince Seed Massage Cream,24,Not specified,All,Not specified,1,Dullness,Not specified,Not specified,Exfoliator,Cream,Lotus Herbals,375
28,55534,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Pimple Corrector,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Night Cream,"White, Blue",Revlon,140
29,57698,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Quincenourish Quince Seed Nourishment Massage Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Not specified,Lotus Herbals,755
30,57696,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Wheat Nourish Massage Creme 250 g,24,Not specified,All,Cream,1,General Care,Not specified,Not specified,Day and Night Cream,Cream,Lotus Herbals,795
31,57691,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Fairness Gel,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Green,Lotus Herbals,270
32,57772,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Lotus Herbals Women Clay White Black Clay Skin Whitening Face Pack,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,Yellow,Lotus Herbals,190
33,55083,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's White Beauty Naturals Spot-Less Lightening Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Green, Silver",Ponds,249
34,57773,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,,Lotus Herbals Frujuvenate Skin Perfecting & Rejuvenating Fruit Pack 350 g,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,Lime Green,Lotus Herbals,575
35,57774,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Lotus Herbals Frujuvenate Fruit Pack,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,White,Lotus Herbals,325
36,56627,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Total Effects 7 in One Anti-Ageing Day Cream,36,6,Normal,Cream,1,Anti-Ageing,24,15 to 30,Day Cream,Gold,Olay,375
37,57701,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Papayablem Papaya-N-Saffron Anti-Blemish Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Cream, Orange",Lotus Herbals,395
38,56620,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Regenerist Advanced Anti-Ageing Revitalising Night Cream 50 g,36,6,Normal,Cream,1,Anti-Ageing,24,Not specified,Night Cream,Silver,Olay,1399
39,59856,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Moisturising Lotion,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,White,Olay,220
40,59851,Women,Personal Care,Skin,Face Serum and Gel,Spring,2017.0,Casual,Olay Women White Radiance Intensive Brightening Serum,36,6,Not specified,Not specified,1,Daily Use,24,Not specified,Serum,White,Olay,1399
41,59858,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Natural White Healthy Fairness Day Lotion SPF 24,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,White,Olay,149
42,59860,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay White Radiance Advanced Whitening Brightening Intensive Cream SPF 24,36,6,Normal,Cream,1,Lightening,24,15 to 30,Day Cream,Blue,Olay,999
43,57700,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Papayablem Anti-Blemish Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,845
44,56626,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Total Effects 7 in One Normal Day Cream,36,6,All,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,799
45,59859,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women White Radiance Advanced Fairness Protective Lotion SPF 24,36,6,All,Lotion,1,General Care,24,15 to 30,Day Cream,White,Olay,999
46,59866,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Regenerist Regenerating Day Cream,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,1349
47,57887,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Biotique Bio Fruit Whitening and Depigmentation Face Pack,36,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,"Pink, Green",Biotique,199
48,57873,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Biotique Bio Coconut Whitening & Brightening Cream,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Green, Pink",Biotique,199
49,57889,Women,Personal Care,Skin,Face Serum and Gel,Spring,2017.0,Casual,Biotique Bio Chlorophyll Oil-Free Anti-Acne Gel,Not specified,Not specified,Not specified,Not specified,1,Acne or Blemishes,Not specified,Not specified,Gel,Green,Biotique,199
50,55321,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Sun Care Daily Moisturising Lotion,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"White, Yellow",Revlon,235
51,55317,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Cream,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Revlon,250
52,57675,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Women WhiteGlow Intensive Skin Whitening & Brightening Serum & Moisturiser,36,24,Normal,Cream,1,General Care,6,Not specified,Day Cream,White,Lotus Herbals,399
53,57888,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Biotique Women Bio Clove Anti Blemish Face Pack,36,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,"Lavender, Green",Biotique,199
54,57872,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Biotique Women Bio Dandelion Ageless Lightening Serum,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Beige, Green, Beige",Biotique,199
55,57886,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Biotique Bio Milk Protein Whitening & Rejuvenating Face Pack,36,36,All,Not specified,1,Lightening,36,Not specified,Mask,Green,Biotique,199
56,57674,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Whiteglow Hand & Body Lotion,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,310
57,55320,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Daily Moisturising Lotion SPF 15,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"White, Pink",Revlon,160
58,57689,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Aloe Vera Moisturising Gel,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Yellow,Lotus Herbals,270
59,55318,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Oil-Free Instant Mattifying Cream,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Pink,Revlon,240
60,57694,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Alpha Hydroxy Oil-Free Moisturiser,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,295
61,57868,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Biotique Bio Wheat Germ Youthful Nourishing Night Cream,Not specified,Not specified,Normal,Cream,1,Anti-Ageing,Not specified,Not specified,Night Cream,Green,Biotique,199
62,55107,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Age Miracle Deep Action Night Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Night Cream,"Silver, Maroon",Ponds,649
63,57692,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Shea Butter Moisturiser,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,295
64,55350,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Revlon Age Defying Sculpt-Logic Night Cream,Not specified,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Night Cream,"White, Gold",Revlon,750
65,57869,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Biotique Bio Saffron Dew Face & Body Cream,Not specified,Not specified,All,Cream,1,General Care,Not specified,Not specified,Night Cream,White,Biotique,199
66,57771,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Lotus Herbals Claywhite Face Pack,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,White,Lotus Herbals,345
67,57770,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,Casual,Lotus Herbals Women Claywhite Black Clay Skin Whitening Face Pack,24,Not specified,All,Not specified,1,Lightening,Not specified,Not specified,Mask,Yellow,Lotus Herbals,605
68,55089,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Flawless White Re-Brightening Night Treatment,24,Not specified,Normal,Cream,1,Lightening,Not specified,Not specified,Night Cream,Silver,Ponds,449
